English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Communicating branches with buccal nerve;;Rami communicantes cum nervi buccali;;Branches communiquantes avec le nerf buccal;;Ramas comunicante con el nervio bucal;;Ramos que se comunicam com o nervo bucal;
Communicating branches with auriculotemporal nerve;;Rami communicantes cum nervi auriculotemporali;;Branches communiquantes avec le nerf auriculotemporal;%Rameaux communicants avec le nerf auriculotemporal;Ramas comunicante con el nervio auriculotemporal;;Ramos que se comunicam com o nervo auriculotemporal;
Mandibular ganglion;;Ganglion mandibulare;;Ganglion mandibulaire;;Ganglio mandibular;;Gânglio mandibular;
(Sympathic branch to mandibular ganglion);;(Ramus sympathicus ad ganglion mandibulare);;(Rameau sympathique du ganglion mandibulaire);%Rameau sympathique du ganglion mandibulaire;(Rama simpatica del ganglio mandibular);;(Ramo simpático para o gânglio mandibular);
Communicating branches of mental branches with lingual nerve;;Rami communicantes nervi mentales cum nervi linguali;;Br. communiquantes des nerfs mentonniers avec le nerf lingual;;R. comunicantes de los n. mentales con el nervio lingual;;Ramos que comunicam os nervos mentonianos com o nervo lingual.;
Glandular branches of mental nerves;;Rami glandulares nervi mentales;;Branches glandulaires des nerfs mentonniers;;Ramas glandulares de los nervios mentales;;Ramos glandulares do nervo mentoniano;
Sublingual ganglion (Car);;Ganglion sublinguale (Car);;Ganglion sublingual (Car);%Ganglion sublingual;Ganglio sublingual (Car);;Gânglio sublingual (Car);
Communicating branches with lingual nerve;;Rami communicantes cum nervi linguali;;Branches communiquantes avec le nerf lingual;;Ramas comunicante con el nervio lingual;;Ramos que se comunicam com o nervo lingual;
Glandular branches;;Rami glandulares;;Branches glandulaires;;Ramas glandulares;;Ramos glandulares;
Abducens nerve;;Nervus abducens;;Nerf abducens (VI);%Nerf abducens%Sixième nerf crânien%Nerf VI%Nerf 6%6ème nerf crânien;Nervio abductor;;Nervo abdutor;
Facial nerve [intermediofacial nerve];;Nervus facialis [Nervus intermediofacialis];;Nerf facial [nerf intermédiofacial] (VII);%Nerf facial%Septième nerf crânien%Nerf VII%Nerf 7%7ème nerf crânien;Nervio facial [nervio intermedio-facial];;Nervo facial [nervo intermediofacial];
Geniculum of facial nerve;%External genu of facial nerve;Geniculum nervi facialis;%Genu nervi facialis;Geniculum du nerf facial;%Genou externe du nerf facial;Genículo del nervio facial;;Gênio do nervo facial;
Greater petrosal nerve;%Parasympathetic root of pterygopalatine ganglion;Nervus petrosus major;%Radix intermedia ganglii pterygopalatini%Radix facialis ganglii pterygopalatini%Nervus petrosus superficialis major;Nerf grand pétreux;;Nervio petroso mayor;;Nervo petroso maior;
Nerve to stapedius muscle;;Nervus stapedius;;Nerf du muscle stapédien;;Nervio para el músculo estapedio;;Nervo estapédio;
Internal auricular branch;;Ramus auricularis internus;;Branche auriculaire interne;%Rameau auriculaire interne;Rama auricular interna;;Ramo auricular interno;
Caudal auricular nerve;;Nervus auricularis caudalis;;Nerf auriculaire caudal;;Nervio auricular caudal;;Nervo auricular caudal;
Digastric branch;;Ramus digastricus;;Branche digastrique;;Rama digastrica;;Ramo digástrico;
Stylohyoid branch;;Ramus stylohyoideus;;Branche stylohyoïdienne;;Rama estilohioidea;;Ramo estilohióideo;
Parotid plexus;%Intraparotid plexus;Plexus intraparotideus;%Plexus parotidicus;Plexus parotidien;%Plexus infraparotidien;Plexo parotídeo;;Plexo intraparotídeo;
Auriculopalpebral nerve;;Nervus auriculopalpebralis;;Nerf auriculopalpébral;;Nervio auriculopalpebral;;Nervo auriculopalpebral;
Rostral auricular branches;;Rami auriculares rostrales;;Branches auriculaires rostrales;;Ramas auriculares rostrales;;Ramos auriculares rostrais;
Zygomaticus branch;;Ramus zygomaticus;;Branche zygomatique;;Rama cigomática;;Ramo zigomático;
Palpebral branches;;Rami palpebrales;;Branches palpébrales;;Ramas palpebrales;;Ramos palpebrais;
Buccal branches;;Rami buccales;;Branches buccales;;Ramas bucales;;Ramos bucais;
Buccolabial branches;;Rami buccolabiales;;Branches buccolabiales;;Ramas bucolabiales;;Ramos bucolabiais;
Marginalis mandibular branch;;Ramus marginalis mandibulae;;Branche mandibulaire marginale;;Rama manidubular marginal;;Ramo marginal da mandíbula;
Ramus colli;;Ramus colli;;Ramus colli;;Rama colli;;Ramo do pescoço;
Intermedius nerve;;Nervus intermedius;;Nerf intermédiaire;;Nervio intermedio;;Nervo intermediário;
Geniculate ganglion;;Ganglion geniculi;;Ganglion géniculé;;Ganglio genigulado;;Gânglio genital;
Chorda tympani;;Chorda tympani;%Ramus communicans lingualis nervi facialis;Corde du tympan;;Cuerda del tímpano;;Corda de tambor;
Vestibulocochlear nerve;;Nervus vestibulocochlearis;;Nerf vestibulocochléaire (VIII);%Nerf vestibulocochléaire%Huitème nerf crânien%Nerf VIII%Nerf 8%8ème nerf crânien;Nervio vestibulococlear;;Nervo vestibulococlear;
Vestibular root;;Radix vestibularis;;Racine vestibulaire;;Raíz vestibular;;Raiz vestibular;
Cochlear root;;Radix cochlearis;;Racine cochléaire;;Raíz coclear;;Raiz coclear;
Vestibular nerve;;Nervus vestibularis;%Nervus staticus%Pars vestibularis nervi octavi;Nerf vestibulaire;;Nervio vestibular;;Nervo vestibular;
Vestibular ganglion;%Ganglion of Scarpa;Ganglion vestibulare;%Ganglion vestibuli;Ganglion vestibulaire;;Ganglio vestibular;;Gânglio vestibular;
Upper part of the vestibular ganglion;;Pars superior ganglii vestibularis;;Partie supérieure du ganglion vestibulaire;;Parte superior;;Parte superior do gânglio vestibular;
Lower part of the vestibular ganglion;;Pars inferior ganglii vestibularis;;Partie inférieure du ganglion vestibulaire;;Parte inferior;;Parte inferior do gânglio vestibular;
Utriculo-ampullar nerve;;Nervus utriculo-ampullaris;;Nerf utriculo-ampullaire;;Nervio utriculoampular;;Nervo vesicular-ampular;
Utricular nerve;;Nervus utricularis;%Ramus utriculi;Nerf utriculaire;;Nervio utricular;;Nervo da bexiga;
Anterior ampullary nerve;;Nervus ampullaris anterior;%Nervus ampullaris superior%Ramus ampullae superioris;Nerf ampullaire antérieur;;Nervio ampular anterior;;Nervo ampular anterior;
Lateral ampullary nerve;;Nervus ampullaris lateralis;%Nervus ampullaris lateralis%Ramus ampullae lateralis;Nerf ampullaire latéral;;Nervio ampular lateral;;Nervo ampular lateral;
Posterior ampullary nerve;;Nervus ampullaris posterior;%Nervus ampullaris posterior%Ramus ampullae posterioris;Nerf ampullaire postérieur;;Nervio ampular posterior;;Nervo ampular posterior;
Saccular nerve;;Nervus saccularis;%Nervi sacculi;Nerf sacculaire;;Nervio sacular;;Nervo sacral;
Cochlear nerve;;Nervus cochlearis;%Nervus cochleae%Nervus acusticus%Pars cochlearis nervi octavi;Nerf cochléaire;;Nervio coclear;;Nervo coclear;
Spiral cochlear ganglion;;Ganglion spirale cochleae;;Ganglion spiral de la cochlée;;Ganglio espiral de la cóclea;;Gânglio espiral da cóclea;
Glossopharyngeal nerve;;Nervus glossopharyngeus;;Nerf glossopharyngien (IX);%Nerf glossopharyngien%Neuvième nerf crânien%Nerf IX%Nerf 9%9ème nerf crânien;Nervio glosofaríngeo;;Nervo glossofaríngeo;
Proximal ganglion of glossopharyngeal nerve;;Ganglion proximale nervi glossopharyngeus;;Ganglion proximal du nerf glossopharyngien;;Ganglio proximal del nervio glossofaringeo;;Gânglio proximal do nervo glossofaríngeo;
Distal ganglion of glossopharyngeal nerve;;Ganglion distale nervi glossopharyngeus;;Ganglion distal du nerf glossopharyngien;;Ganglio distal del nervio glossofaringeo;;Gânglio distal do nervo glossofaríngeo;
Tympanic nerve;%Nerve of Arnold%Nerve of Jacobson;Nervus tympanicus;;Nerf tympanique;%Nerf d'Arnold%Nerf de Jacobson;Nervio timpánico;;Nervo timpânico;
Tympanic plexus;%Plexus of Jacobson;Plexus tympanicus;;Plexus nerveux tympanique;;Plexo nervoso timpánico;;Plexo timpânico;
Lesser petrosal nerve;%Parasympathetic root of otic ganglion;Nervus petrosus minor;%Radix parasympathica ganglii otici%Nervus petrosus superficialis minor;Nerf petit pétreux;;Nervio petroso menor;;Nervo petroso menor;
Caroticotympanic nerves;;Nervi caroticotympanici;%Nervi caroticotympanici superior et inferior;Nerfs caroticotympaniques;%Nerfs caroticotympaniques supérieur et inférieur;Nervios caroticotimpánicos;;Nervos caroticotimpânicos;
Tubal branch of the caroticotympanic nerve;;Ramus tubalis nervi caroticotympanici;;Branche tubaire du nerf caroticotympanique;;Rama tubar;;Ramo tubário do nervo caroticotimpânico;
Branch of the carotid sinus;;Ramus sinus carotici;;Branche du sinus carotidien;%Rameau du sinus carotidien;Rama del seno carotideo;;Ramo do seio carotídeo;
Branch for caudal stylopharyngeal muscle;;Ramus musculus stylopharyngei caudalis;;Branche du muscle stylopharyngien caudal;%Rameau du muscle stylopharyngien caudal;Rama del músculo estilofaríngeo caudal;;Ramo caudal do músculo estilofaríngeo;
Pharyngeal branch;;Ramus pharyngeus;;Branche pharyngée;;Rama faríngea;;Ramo faríngeo;
Lateropharyngeal ganglion (bo,ov);;Ganglion lateropharyngeum (bo, ov);;Ganglion latéropharyngé (bo, ov);%Ganglion latéropharyngé;Ganglio laterofaríngeo (bo, ov);;Gânglio laterofaríngeo (bo, ov);
Lingual branch;;Ramus lingualis;;Branche linguale;;Rama lingual;;Ramo lingual;
Tonsillary branches;;Rami tonsillares;;Branches amygdaliennes;;Ramas amigdalinas;;Ramos tonsilares;
Vagus nerve;;Nervus vagus;;Nerf vague (X);%Nerf vague%Dixième nerf crânien%Nerf X%Nerf 10%10ème nerf crânien;Nervio vago;;Nervo vago;
Proximal ganglion of the vagus nerve;;Ganglion proximalis nervi vagi;;Ganglion proximal du nerf vague;;Ganglio proximal;;Gânglio proximal do nervo vago;
Distal ganglion of the vagus nerve;;Ganglion distalis nervi vagi;;Ganglion distal du nerf vague;;Ganglio distal;;Gânglio distal do nervo vago;
Meningeal branch of vagus nerve;;Ramus meningeus nervi vagi;%Ramus meningicus;Branche méningée du nerf vague;;Ramo meníngeo del nervio vago;;Ramo meníngeo do nervo vago;
Communicating branch with glossopharyngeal nerve;;Ramus communicans cum nervi glossopharyngeo;;Branche communiquante avec le nerf glossopharyngien;;Rama comunicante con el nervio glosofaríngeo;;Ramo comunicando-se com o nervo glossofaríngeo;
Auricular branch;;Ramus auricularis;;Branche auriculaire;;Rama auricular;;Ramo auricular;
Pharyngeal branches;;Rami pharyngei;;Branches pharyngées;;Ramas faríngeas;;Ramos faríngeos;
Pharyngeal plexus;;Plexus pharyngeus;%Plexus pharyngicus;Plexus pharyngien;;Plexo faríngeo;;Plexo faríngeo;
Oesophageal ramus;;Ramus oesophageus;;Branche œsophagienne;;Rama del esófago;;Ramo esofágico;
Cranial laryngeal nerve;;Nervus laryngeus cranialis;;Nerf laryngé crânial;;Nervio laríngeo craneal;;Nervo laríngeo craniano;
External branch of cranial laryngeal nerve;;Ramus externus nervi laryngeus cranialis;;Branche externe du nerf laryngé crânial;;Rama externa del nervio laringeo cranial;;Ramo externo do nervo laríngeo craniano;
Internal branch of cranial laryngeal nerve;;Ramus internus nervi laryngeus cranialis;;Branche interne du nerf laryngé crânial;;Rama interna del nervio laringeo cranial;;Ramo interno do nervo laríngeo craniano;
Communicating branch with caudal laryngeal nerve;;Ramus communicans cum nervi laryngeo caudali;;Branche communiquante avec le nerf laryngé caudal;%Rameau communicant avec le nerf laryngé caudal;Rama comunicante con el nervio laríngeo caudal;;Ramo que se comunica com o nervo laríngeo caudal;
Depressor nerve;;Nervus depressor;;Nerf dépresseur;;Nervio depresor;;Depressor de nervos;
Vagosympathic trunk;;Truncus vagosympathicus;;Tronc vagosympathique;;Tronco vagosimpático;;Tronco vagosimpático;
Cardiac branches;;Rami cardiaci;;Branches cardiaques;;Ramas cardiacas;;Ramos cardíacos;
Recurrent laryngeal nerve;;Nervus laryngeus recurrens;%Nervus recurrens;Nerf laryngé récurrent;;Nervio laríngeo recurrente;;Nervo laríngeo recorrente;
Tracheal branches;;Rami tracheales;;Branches trachéales;;Ramas traqueales;;Ramos traqueais;
Oesophageal branches of recurrent oesophageal nerves;;Rami oesophagei nervi laryngeus recurrens;;Branches œsophagiennes du nerf laryngé récurrent;;Ramas esófageales del nervio laryngeo recurrente;;Ramos do nervo laríngeo recorrente do esôfago;
Caudal laryngeal nerve;;Nervus laryngeus caudalis;;Nerf laryngé caudal;;Nervio laríngeo caudal;;Nervo laríngeo caudal;
Bronchial branches;;Rami bronchales;;Branches bronchiques;;Ramas bronquiales;;Ramos brônquicos;
Pulmonary plexus;;Plexus pulmonalis;;Plexus pulmonaire;;Plexo pulmonar;;Plexo pulmonar;
Oesophageal branches of pulmonary trunk;;Rami oesophagei plexus pulmonalis;;Branches œsophagiennes du plexus pulmonaire;;Ramas esófageales del plexo pulmonar;;Ramos do plexo pulmonar esofágico;
[Esophageus plexus];;[Plexus oesophageus];;[Plexus œsophagien];%Plexus œsophagien;[Plexo esofágico];;[Plexo esofágico];
Ventral vagal trunk;;Truncus vagalis ventralis;;Tronc vagal ventral;;Tronco vagal ventral;;Tronco vagal ventral;
Parietal gastric branches;;Rami gastrici parietales;;Branches gastriques pariétales;;Ramas gástricas parietales;;Ramos gástricos parietais;
Communicating branch of ventral vagal trunk;;Ramus communicans trunci vagalis ventralis;;Branche communiquante du tronc vagal ventral;;Rama comunicante del tronco vagal ventral;;Ramo comunicante do tronco vagal ventral;
Atrial ruminis branches of ventral vagal trunk;;Rami atriales ruminis trunci vagalis ventralis;;Branches atriales ruminantes du tronc vagal ventral;;Ramas atriales ruminales del tronco vagal ventral;;Ramos atriais do rúmen do tronco vagal ventral;
Cranial reticular branches;;Rami reticulares craniales;;Branches réticulaires crâniales;;Ramas reticulares craniales;;Ramos reticulares cranianos;
Pyloric branch;;Ramus pyloricus;;Branche pylorique;;Rama pilórica;;Ramo pilórico;
Hepatic branches;;Rami hepatici;;Branches hépatiques;;Ramas hepáticas;;Ramos hepáticos;
Duodenal branches;;Rami duodenales;;Branches duodénales;;Ramas duodenales;;Ramos duodenais;
Branches to the ventricular groove of ventral vagal trunk;;Rami ad sulcum ventriculi trunci vagalis ventralis;;Branches du sillon ventriculaire du tronc vagal ventral;;Ramas del suerco ventricular del tronco vagal ventral;;Ramos para o sulco do ventrículo do tronco vagal ventral;
Omasial branches of ventral vagal trunk;;Rami omasiales trunci vagalis ventralis;;Branches omasiales du tronc vagal ventral;;Ramas omasiales del tronco vagal ventral;;Ramos omasiais do tronco vagal ventral;
Parietal abomasial branches;;Rami abomasiales parietales;;Rameaux abomasiaux pariétaux;;Ramas abomasiales parietales;;Ramos parietais do abomaso;
Dorsal vagal trunk;;Truncus vagalis dorsalis;;Tronc vagal dorsal;;Tronco vagal dorsal;;Tronco vagal dorsal;
Visceral gastric branches;;Rami gastrici viscerales;;Branches gastriques viscérales;;Ramas gastricas viscerales;;Ramos gástricos viscerais;
Ruminal atrial branches;;Rami atriales ruminis;;Branches atriales ruminales;;Ramas atriales ruminales;;Ramos atriais do rúmen;
Celiac branches;;Rami coeliaci;;Branches coeliaques;;Ramas celíacas;;Ramos celíacos;
Renal branches;;Rami renales;;Branches rénales;;Ramas renales;;Ramos renais;
Dorsal ruminal branches;;Rami ruminales dorsales;;Branches dorsales du rumen;;Ramas dorsales del rumen;;Ramos dorsais do rúmen;
Right ruminal branch;;Ramus ruminalis dexter;;Branche ruminale droite;;Rama ruminal derecha;;Ramo ruminal direito;
Branch of cranial groove;;Ramus ad sulcum cranialem;;Branche du sillon crânial;;Rama del surco craneal;;Ramificação para o sulco craniano;
Branches to the ventricular groove;;Rami ad sulcum ventriculi;;Branches du sillon ventriculaire;;Ramas del surco ventricular;;Ramos para o sulco do estômago;
Caudal reticular branches;;Rami reticulares caudales;;Branches réticulaires caudales;;Ramas reticulares caudales;;Ramos reticulares caudais;
Branch to the greater curvature of abomasium;;Ramus ad curvaturam majorem abomasi;;Branche de la grande courbure de l'abomasum;;Rama de la curvatura mayor de abomasio;;Ramificação para a curvatura maior do abomaso;
Omasial branches;;Rami omasiales;;Branches omasiales;;Ramas omasiales;;Ramos da árvore omasial;
Visceral abomasial branches;;Rami abomasiales viscerales;;Branches abomasiales viscérales;;Ramas abomasiales viscerales;;Ramos viscerais do abomaso;
Accessory nerve;;Nervus accessorius;;Nerf accessoire (XI);%Nerf accessoire%Onzième nerf crânien%Nerf XI%Nerf 11%11ème nerf crânien;Nervio accesorio;;Nervo acessório;
Cranial roots of the accessory nerve;;Radices craniales nervi accessorii;;Racines crâniales du nerf accessoire;;Raíces craneales;;Raízes cranianas dos nervos acessórios;
Spinal roots of the accessory nerve;;Radices spinales nervi accessorii;;Racines spinales du nerf accessoire;;Raíces espinales;;Raízes do nervo acessório espinhal;
Internal branch of the accessory nerve;;Ramus internus nervi accessorii;;Branche interne du nerf accessoire;;Rama interna;;Ramo interno do nervo acessório;
External branch of the accessory nerve;;Ramus externus nervi accessorii;;Branche externe du nerf accessoire;;Rama externa;;Ramo externo do nervo acessório;
Dorsal branch of the accessory nerve;;Ramus dorsalis nervi accessorii;;Branche dorsale du nerf accessoire;;Rama dorsal del nervio accessorio;;Ramo dorsal do nervo acessório;
Ventral branch of the accessory nerve;;Ramus ventralis nervi accessorii;;Branche ventrale du nerf accessoire;;Rama ventral del nervio accessorio;;Ramo ventral do nervo acessório;
Hypoglossal nerve;;Nervus hypoglossis;;Nerf hypoglosse (XII);%Nerf hypoglosse%Douzième nerf crânien%Nerf XII%Nerf 12%12ème nerf crânien;Nervio hipogloso;;Nervo hipoglosso;
Lingual branches of the hypoglossal nerve;;Rami linguales nervi hypoglossis;;Branches linguales du nerf hypoglosse;;Ramas linguales;;Ramos linguais do nervo hipoglosso;
Spinal nerves;;Nervi spinales;;Nerfs spinaux;;Nervios espinales;;Nervos espinhais;
General terms (spinal nerves);;Termini generales (nervi spinales);;Termes généraux (Nerfs spinaux);;Términos generales (nervios espinales);;Termos gerais (nervos espinhais);
Radicular fila;;Fila radicularia;;Fils radicaux;;Hilos radicales;;Tópicos raiz;
Ventral root;;Radix ventralis;;Racine ventrale;;Raíz ventral;;Raiz ventral;
Dorsal root;;Radix dorsalis;;Racine dorsale;;Raiz dorsal;;Raiz dorsal;
Spinal ganglion;%Sensory ganglion of spinal nerve%Dorsal root ganglion;Ganglion spinale;%Ganglion sensorium nervi spinalis;Ganglion spinal;;Ganglio espinal;;Gânglio espinhal;
Ventral branch;;Ramus ventralis;;Branche ventrale;;Rama ventral;;Ramo ventral;
Dorsal branch of spinal nerve;;Ramus dorsalis nervi spinales;;Branche dorsale des nerfs spinaux;;Rama dorsal de los nervios espinales;;Ramo dorsal do nervo espinhal;
Communicating branches of spinal nerves;;Rami communicantes nervi spinales;;Rameaux communiquants des nerfs spinaux;;Ramas communicantes de los nervios espinales;;Ramos comunicantes dos nervos espinhais;
Meningeal branch of spinal nerves;;Ramus meningeus nervi spinales;;Branche méningée des nerfs spinaux;;Rama meníngea de los nervios espinales;;Ramo meníngeo do nervo espinhal;
Cauda equina;;Cauda equina;;Queue-de-cheval;;Cauda equina;;Cavalinha;
Ansae;;Ansae;;Anses;;Ansae;;Alças;
Cervical nerves;%Spinal nerves C1-C8;Nervi cervicales;%Nervi spinales C1-C8;Nerfs cervicaux;%Nerf spinaux C1-C8;Nervios cervicales;;Nervos cervicais;
Dorsal branches of cervical nerves;;Rami dorsales nervi cervicales;;Branches dorsales des nerfs cervicaux;;Ramas dorsales de los nervios cervicales;;Ramos dorsais do nervo cervical;
Medial branch of cervical nerves;;Ramus medialis nervi cervicales;;Branche médiale des nerfs cervicaux;;Rama medial de los nervios espinales;;Ramo medial do nervo cervical;
Dorsal cutaneous branch;;Ramus cutaneus dorsalis;;Branche cutanée dorsale;;Rama cutánea dorsal;;Ramo cutâneo dorsal;
Lateral branch of cervical nerves;;Ramus lateralis nervi cervicales;;Branche latérale des nerfs cervicaux;;Rama lateral de los nervios cervicales;;Ramo lateral do nervo cervical;
Suboccipital nerve;%Posterior ramus of first cervical nerve;Nervus suboccipitalis;%Ramus posterior nervi cervicalis primi%Posterior ramus of spinal nerve C1;Nerf suboccipital;;Nervio suboccipital;;Nervo suboccipital;
Greater occipital nerve;%Medial branch of posterior ramus of second cervical nerve%Nerve of Arnold%Medial branch of posterior ramus of spinal nerve C2;Nervus occipitalis major;%Ramus posterior medialis nervi cervicalis secundi;Nerf grand occipital;;Nervio occipital mayor;;Nervo occipital maior;
Ventral branches;;Rami ventrales;;Branches ventrales;;Ramas ventrales;;Ramos ventrais;
Great auricular nerve;;Nervus auricularis magnus;;Nerf grand auriculaire;;Nervio auricular mayor;;Nervo auricular maior;
Transverse cervical nerve;;Nervus transversus colli;%Nervus transversus cervicalis%Nervus cutaneus colli;Nerf transverse du cou;;Nervio cervical transverso;;Nervo transverso do pescoço;
Cranial branches of transverse cervical nerve;;Rami craniales nervi transversus colli;;Branches crâniales du nerf transverse du cou;;Ramas craneales del nervio transverso del cuello;;Os ramos cranianos do nervo transverso do pescoço;
Caudal branches of transverse cervical nerve;;Rami caudales nervi transversus colli;;Branches caudales du nerf transverse du cou;;Ramas caudales del nervio transverso del cuello;;Ramos caudais do nervo transverso do pescoço;
Supraclavicular nerves;;Nervi supraclaviculares;;Nerfs supraclaviculaires;;Nervios supraclaviculares;;Nervos supraclaviculares;
Ventral supraclavicular nerves;;Nervi supraclaviculares ventrales;;Nerfs sous-claviculaires ventraux;;Nervios supraclaviculares ventrales;;Nervo supraclavicular ventral;
Intermediate supraclavicular nerves;;Nervi supraclaviculares intermedii;%Nervi supraclaviculares medii;Nerfs supraclaviculaires intermédiaires;;Nervios supraclaviculares intermedios;;Nervos supraclaviculares intermediários;
Dorsal supraclavicular nerves;;Nervi supraclaviculares dorsales;;Nerfs supraclaviculaires dorsaux;;Nervios supraclaviculares dorsales;;Nervos supraclaviculares dorsais;
Cervical plexus;;Plexus cervicalis;;Plexus cervical;;Plexo cervical;;Plexo cervical;
Ansa cervicalis;;Ansa cervicalis;%Ansa nervi hypoglossi;Anse cervicale;%Anse du nerf hypoglosse;Asa cervical;;Alça cervical;
Cranial root;;Radix cranialis;;Racine crâniale;;Raíz craneal;;Raiz craniana;
Caudal root;;Radix caudalis;;Racine caudale;;Raíz caudal;;Raiz caudal;
Phrenic nerve;%Bell’s internal respiratory nerve;Nervus phrenicus;;Nerf phrénique;%Nerf respiratoire interne de Bell;Nervio frénico;;Nervo frênico;
Pericardiac branches;;Rami pericardiaci;;Branches péricardiques;;Ramas pericárdicas;;Ramos pericárdicos;
Brachial plexus;;Plexus brachialis;;Plexus brachial;;Plexo braquial;;Plexo braquial;
Roots of plexus;;Radices plexus;;Racines du plexus;;Raíces del plexo;;Raízes do plexo;
Plexus trunks;;Trunci plexus;;Troncs du plexus;;Tronco del plexus;;Plexo do tronco;
Dorsal scapular nerve;;Nervus dorsalis scapulae;;Nerf dorsal de la scapula;%Nerf scapulaire dorsal;Nervio dorsal de la escápula;;Nervo dorsal da escápula;
Subclavian nerve;%Nerve to subclavius muscle;Nervus subclavius;;Nerf sous-clavier;%Nerf du muscle sous-clavier%Nerf subclavier;Nervio subclavio;;Nervo subclávio;
Suprascapular nerve;;Nervus suprascapularis;;Nerf suprascapulaire;;Nervio supraescapular;;Nervo supraescapular;
Subscapular nerves;;Nervi subscapulares;%Nervus subscapularis;Nerfs sous-scapulaires;%Nerf sous-scapulaire%Nerf subscapulaire%Nerfs subscapulaires;Nervios subescapulares;;Nervos subescapulares;
Musculocutaneous nerve;%Nerve of Casserio;Nervus musculocutaneus;;Nerf musculocutané;%Nerf de Casserio;Nervio musculocutáneo;;Nervo musculocutâneo;
Proximal muscular ramus;;Ramus muscularis proximalis;;Branche musculaire proximale;%Rameau musculaire proximal;Rama muscular proximal;;Ramo muscular proximal;
Axillary loop;;Ansa axillaris;;Anse axillaire;;Ansa axilar;;Alça axilar;
Communicating branch with median nerve (Car);;Ramus communicans cum nervi mediano (Car);;Branche communiquante avec le nerf médian (Car);%Branche communiquante avec le nerf médian;Rama comunicante con el nervio mediano (Car);;Ramo comunicante com o nervo mediano (Car);
Distal muscular branch;;Ramus muscularis distalis;;Branche musculaire distale;;Rama muscular distal;;Ramo muscular distal;
Medial cutaneous nerve of forearm;;Nervus cutaneus antebrachii medialis;;Nerf cutané médial de l'avant-bras;;Nervio cutáneo medial del antebrazo;;Nervo cutâneo medial do antebraço;
Axillary nerve;;Nervus axillaris;%Nervus circumflexus;Nerf axillaire;%Nerf circonflexe;Nervio axilar;;Nervo axilar;
Muscular branches of axillary nerve;;Rami musculares nervi axillaris;;Branches musculaires du nerf axillaire;;Ramos musculares del nervio axilar;;Ramos musculares do nervo axilar;
Lateral cranial cutaneous brachial nerve;;Nervus cutaneus brachii lateralis cranialis;;Nerf cutané brachial latéral crânial;;Nervio cutáneo braquial lateral cranial;;Nervo cutâneo craniano lateral do braço;
Cranial antebrachial cutaneous nerve;;Nervus cutaneus antebrachii cranialis;;Nerf cutané antébrachial crânial;;Nervio cutáneo antebrachial craneal;;Nervo cutâneo do antebraço cranial;
Cranial pectoral nerves;;Nervi pectorales craniales;;Nerfs pectoraux crâniaux;;Nervios pectorales craneales;;Nervos peitorais cranianos;
Long thoracic nerve;%Bell’s external respiratory nerve;Nervus thoracicus longus;;Nerf thoracique long;%Nerf respiratoire externe de Bell;Nervio torácico largo;;Nervo torácico longo;
Thoracodorsal nerve;%Middle subscapular nerve;Nervus thoracodorsalis;%Nervus subscapularis medius;Nerf thoracodorsal;%Nerf subscapulaire moyen;Nervio toracodorsal;;Nervo toracodorsal;
Lateral thoracic nerve;;Nervus thoracicus lateralis;;Nerf thoracique latéral;;Nervio torácico lateral;;Nervo torácico lateral;
Caudal pectoral nerves;;Nervi pectorales caudales;;Nerfs pectoraux caudaux;;Nervios pectorales caudales;;Nervos peitorais caudais;
Radial nerve;;Nervus radialis;;Nerf radial;;Nervio radial;;Nervo radial;
Muscular branches of radial nerve;;Rami musculares nervi radialis;;Branches musculaires du nerf radial;;Ramos musculares del nervio radial;;Ramos musculares do nervo radial;
Caudal lateral brachial cutaneous nerve;;Nervus cutaneus brachii lateralis caudalis;;Nerf cutané latéral caudal du bras;;Nervio cutáneo braquial lateral caudal;;Nervo cutâneo caudal lateral do braço;
Deep branch of lateral caudal cutaneous nerve of arm;;Ramus profundus nervi cutaneus brachii lateralis caudalis;;Branche profonde du nerf radial;;Rama profunda del nervio cutaneo braquial lateral caudal;;Ramo profundo do nervo cutâneo lateral caudal do braço;
Muscular branches of lateral caudal cutaneous nerve of arm;;Rami musculares nervi cutaneus brachii lateralis caudalis;;Branches musclaires;;Ramas musculares del nervio cutaneo braquial lateral caudal;;Ramos musculares do nervo cutâneo lateral caudal do braço;
Superficial branch of lateral caudal cutaneous nerve of arm;;Ramus superficialis nervi cutaneus brachii lateralis caudalis;;Branche superficielle du nerf radial;;Rama superficial del nervio cutaneo brachial lateral caudal;;Ramo superficial do nervo cutâneo lateral caudal do braço;
Lateral cutaneous nerve of the forearm;;Nervus cutaneus antebrachii lateralis;;Nerf cutané latéral de l'avant-bras;;Nervio cutáneo lateral del antebrazo;;Nervo cutâneo lateral do antebraço;
Lateral branch (Car, su);;Ramus lateralis (Car, su);;Branche latérale (Car, su);;Rama lateral (Car, su);;Ramo lateral (Carro, su);
Medial branch (Car, su);;Ramus medialis (Car, su);;Branche médiale (Car, su);;Rama medial (Car, su);;Ramo medial (Car, su);
Common dorsal digital nerves;;Nervi digitales dorsales communes;;Nerfs digitaux dorsaux communs;;Nervios digitales dorsales comunes;;Nervo digital dorsal comum;
Dorsal digital nerves proper;;Nervi digitales dorsales proprii;;Nerfs digitaux dorsaux propres;;Nervios digitales dorsales propios;;Nervos digitais dorsais próprios;
